,lineage,ncomph,ncompk,mdeg_l,dmdeg_l,mdeg_h,dmdeg_h,mcompmass_h,mcompmass_d,fdim0,cnumh,cnumk,area_l,area_h,circum_l,circum_h,circ0,circ1,asra0,asra1,line
55,/home/tjc54/datasets/SCC_YM/p1/7.5,0.00017055887772813926,382.8428136285389,0.730924727404768,4425.344874565489,1.904922049163619,4966.633699505316,4114923.2633243604,24317906484.42974,-71.98184231599437,0.00026482819619194105,3.844447581685544,829.6901211942129,905.2599881401728,136.1885745810213,136.56545563080192,81.71340385615076,0.6142425995136053,-166.1308440956525,2.5325029812425277,r
56,/home/tjc54/datasets/SCC_YM/p1/7.6,0.00024873973787757967,536.7550796347842,0.4709924979819365,2982.4323233964556,1.1664985076234926,2581.615753735993,1013163.5090580976,9416487654.322441,-61.35461610055132,0.0006674764324638611,3.712958394245414,823.814130059923,709.6952933595802,149.4050861815076,126.6724929958104,252.13097938293785,0.49922822943065925,-728.5989194334803,2.918332776487992,r
57,/home/tjc54/datasets/SCC_YM/p1/8.1,0.00021725645735608005,574.5884963363878,0.43122723799087986,2455.2313338696813,1.0284732672786658,2322.736900432606,2371616.9324114677,15483307253.795876,-51.915690001060106,0.00014250203986206967,2.8496285324170687,628.4371763870249,23.35712636694916,118.27159493655007,-51.968967520253955,-68.21443736966903,0.599967651402961,815.7081444676899,2.8060558875892347,r
58,/home/tjc54/datasets/SCC_YM/p1/8.2,0.00020098866724233013,369.05046393525737,0.742346642938279,3921.393706406917,1.3796020509174847,1176.6495574267256,1417949.463434596,7053345828.547538,-74.18854596876601,0.00027435309319394607,3.5808515966868564,910.4094866295966,772.9905794242966,149.97772164974813,126.80325524642865,194.7355697085439,0.5516821610303431,-682.5599154707572,2.8399263522476446,r
59,/home/tjc54/datasets/SCC_YM/p1/8.3,0.00022214304078480875,571.0377960267256,0.4265141868705258,2515.7418999467804,1.2450867981927534,4032.8389906310385,580743.0618069511,3896242469.718686,-70.93669581279272,0.0009444881759619514,4.2340718829306,873.2354222448582,821.02740890909,153.98605888354587,127.38344134861543,345.42056062354794,0.4937876885030136,-1259.7082654636363,2.8097887416944753,r
60,/home/tjc54/datasets/SCC_YM/p1/8.4,0.00021041656022718688,433.9688235117936,0.6417641502124305,3864.7014603676107,1.416837205299785,2335.8829803312237,2608948.717931129,16666083049.569258,-71.93025383028875,0.000326401182843308,3.9700942866854607,852.8607055576732,806.7896582773459,153.22103359362495,130.57150073541362,333.70306623006206,0.4768300399824561,-2124.10629010925,3.3980194706762346,r
61,/home/tjc54/datasets/SCC_YM/p1/8.5,0.00021901262181873028,493.54635968923856,0.4780131369588967,3562.4911608542293,1.1990849080612391,2206.0830079645084,1199141.8579060333,14072028762.917334,-72.88498665997712,-0.008546379243279093,-11.044448818374567,835.610182898258,718.6010147855241,146.1832043667602,119.62211805629232,331.1926813404804,0.5179808528579407,-897.0177378462374,2.688090565557169,r
62,/home/tjc54/datasets/SCC_YM/p1/8.6,0.0002490426722251751,496.92090991267935,0.5557326926876305,3262.417458532933,1.233826565723613,2162.333525754926,1230293.6265518453,10714833883.434923,-64.20256932461359,0.0005441531327543068,3.9722649478332306,730.8792434038068,674.9183869500088,131.41140765828362,118.29876354637264,138.78500382260202,0.5900438431898857,-444.6606248708172,2.5977550944229417,r
63,/home/tjc54/datasets/SCC_YM/p1/9.2,0.00024979583663909934,510.87757078083575,0.5592620682803061,3610.3577706799874,1.4002654021247833,3117.6689000758292,1329033.2964420314,9219945882.54723,-40.18621012919441,0.0003833666933140552,4.105694229899063,693.3179194459677,515.7905632386261,139.10502687036538,104.76135696968787,482.9740261921998,0.45679721316151517,-2085.8442745190305,3.430886091735123,r
64,/home/tjc54/datasets/SCC_YM/p1/9.3,0.0002614337665445457,526.4955774448948,0.4928507087389457,3175.6543079884714,1.1768563178467772,2296.3905648741784,951424.5149516768,7971189197.772743,-49.93510859371204,0.00044283014612121947,4.044337110922877,787.718413674719,636.033219207806,146.42660759100633,120.95843116089353,167.45127883394636,0.5262281052801286,-532.6816792751894,2.86566035425929,r
65,/home/tjc54/datasets/SCC_YM/p1/9.4,0.00026241187900056807,537.3426077100178,0.5539768751602568,3074.5173725846867,1.2951094544923507,2854.5432620720626,1256596.8470411422,8341187021.082396,-52.74318333108873,0.0004177348622520157,4.041693033907334,749.0192561292179,613.8904800242615,131.91755248198297,109.11994931924718,295.6854986554157,0.5656779698550001,-1196.0666454117284,2.7676942053387656,r
66,/home/tjc54/datasets/SCC_YM/p1/9.5,0.00022491192984115118,576.3075945039673,0.4265244489089695,2636.2271773094617,1.165562378479565,3276.0762592553024,547852.9686958509,3525942633.4672365,-78.96351030857697,0.0002414598674476261,3.2389387923050816,927.0880785053034,984.6054093695418,161.28340162289894,144.12982974496933,211.34177624298923,0.49919647312555265,-605.6853845597927,2.761121032212767,r
67,/home/tjc54/datasets/SCC_YMR/p1/1.1,0.00020072557917492846,343.4806894026653,0.9478356515076621,4572.561343182396,1.7042227825900944,1478.535705477062,2496886.755456483,15544522121.983957,-49.62264026222353,0.0002543580985907527,4.957585198296137,723.0037104654723,569.0638067658056,126.21414080397457,114.63515867387832,85.16315820540783,0.6272882331434536,-1088.594370504888,2.842993461346823,b
68,/home/tjc54/datasets/SCC_YMR/p1/1.2,0.00027967835975562167,314.25977139217326,1.0112629121096797,4556.739973485601,1.6706847950725114,718.6350902170516,1800735.6324303788,6582794656.181065,-45.529506109700336,0.0003308139529416254,4.614261491655187,599.15405220651,530.1249673071161,111.20171989057303,105.42300719659256,-159.09131857386168,0.7480551745206342,843.5029659964913,2.0499133449586666,b
69,/home/tjc54/datasets/SCC_YMR/p1/1.3,0.00031244487466816525,400.02344834831797,0.8938795825486544,3686.603099673694,1.4989079199129196,1153.6235992404295,1272661.4803005508,7615921088.49403,-40.02619304192654,0.0003428144821116371,4.298452259602446,588.988280255357,518.0413870466941,110.3135596221441,102.57248168027317,-126.43888572643733,0.7545871990613896,490.2194921837134,1.9868292083602201,b
