,area,perimeter,circularity,aspect_ratio,roundness,solidity,protrusion_num,protrusion_mean_len,protrusion_max_len,discr_num,discr_mean_dist,discr_max_dist,discr_mean_area
YMR_pre14,0.005735689433333333,2.5993802059999997,0.010766557333333334,1.1288645916666666,0.886418457,0.4532698126666667,70.0,0.055634817016666664,0.08166933997666666,56.666666666666664,0.06515932923,0.11296262082666665,4.056666666666667e-06
YMR_154,0.005993960833333333,2.9318606517777774,0.009639059555555557,1.1155398185555554,0.9000421587777778,0.42747221311111105,75.44444444444444,0.05651775409666667,0.07794826134666666,73.77777777777777,0.05927533139444444,0.10108045488999999,3.775555555555555e-06
YMR_pre21,0.0034184192750000004,1.558903203,0.023027462750000005,1.2388180701249998,0.817760569625,0.423022034625,38.5,0.04484164399875,0.06253495104125001,33.125,0.0451893149425,0.0855167321175,3.5075e-06
YMR_pre7,0.0045342757,2.393611657,0.010504808499999999,1.0553809795,0.9473040644999999,0.363044896,39.5,0.056010847355000004,0.07754880451500001,88.0,0.059500315969999995,0.1257138727,4.5550000000000004e-06
YMR_P,0.0063767157555555554,2.6594201922222225,0.011330872444444445,1.145572530111111,0.8759255502222223,0.49521000800000003,69.0,0.05698416192888889,0.07539316883888889,51.888888888888886,0.060989507693333334,0.11699073766888889,3.947777777777777e-06
YM_121,0.000982909190909091,0.6726113995454545,0.03529977172727273,1.382805756909091,0.7548238985454546,0.3246621836363637,18.454545454545453,0.02878306700090909,0.045857378566363634,18.272727272727273,0.02975093033090909,0.048867692638181824,2.3295454545454543e-06
YM_133,0.0027000480571428573,1.8988239242857143,0.009737687142857141,1.1694214445714286,0.8604422878571428,0.38014338214285714,52.714285714285715,0.04082448366428572,0.05687565256714285,86.28571428571429,0.04832427822428571,0.08759487878000001,2.6171428571428566e-06
YM_53,0.001606077658333333,1.1836030909166666,0.014826006166666668,1.3211133851666668,0.7658341560833333,0.3999007131666667,38.833333333333336,0.03170292206416666,0.04542892274250001,42.333333333333336,0.03696324992166667,0.08034091115916667,2.855833333333333e-06
YM_63,0.0008773515599999999,0.6186275840500001,0.03255688725,1.2858203840999998,0.7877858628500001,0.4432921479,24.85,0.024038317900500004,0.03404895282750001,8.4,0.0259955988385,0.03971513964150001,2.24055e-06
YM_P,0.0025381626625000002,1.53065571925,0.014059826125,1.2540206516249999,0.8116986220000001,0.48848647875000006,51.625,0.03688003468375,0.049861164827500006,73.0,0.045743196373749996,0.08315558949624999,2.51625e-06
